locKey,surfMin,surfMax,generalCondition,surf_max_0,surf_max_1,surf_max_2,surf_max_3,surf_min_0,surf_min_1,surf_min_2,surf_min_3,swell_period1_0,swell_period1_1,swell_period1_2,swell_period1_3,swell_period2_0,swell_period2_1,swell_period2_2,swell_period2_3,swell_direction1_0,swell_direction1_1,swell_direction1_2,swell_direction1_3,swell_direction2_0,swell_direction2_1,swell_direction2_2,swell_direction2_3,swell_height1_0,swell_height1_1,swell_height1_2,swell_height1_3,swell_height2_0,swell_height2_1,swell_height2_2,swell_height2_3
132255,5,6,,5.83,5.98,7.05,7.24,4.95,4.98,6.08,6.42,6.3,6.3,6.3,6.9,4.3,0.0,0.0,2.9,258.0,260.0,263.0,276.0,175.0,0.0,0.0,15.0,6.6,6,7.2,8.8,1,0,0,0.3
132274,4,5,,4.17,4.78,5.63,5.75,3.17,3.84,4.63,4.75,3.9,5.2,5.2,5.2,0.0,4.7,0.0,6.3,239.0,266.0,273.0,289.0,0.0,195.0,0.0,335.0,4.2,5.1,5.6,5.7,0,3,0,3.5
132275,3,4,,3.76,4.21,5.99,6.61,2.76,3.21,5.1,5.67,5.2,5.2,5.7,6.3,0.0,0.0,0.0,0.0,257.0,258.0,258.0,259.0,0.0,0.0,0.0,0.0,3.8,4.2,6.7,7,0,0,0,0
132277,1,2,,2.28,2.03,4.23,5.5,1.28,1.03,3.3,4.53,4.7,4.3,5.2,5.7,0.0,5.7,0.0,0.0,290.0,283.0,288.0,290.0,0.0,308.0,0.0,0.0,2.3,1.9,4.6,5.7,0,0.8,0,0
132279,5,6,,4.15,5.58,6.31,6.43,3.15,4.58,5.39,5.44,5.2,5.7,6.3,6.3,0.0,0.0,0.0,0.0,256.0,256.0,258.0,258.0,0.0,0.0,0.0,0.0,4.2,5.6,6.9,6.5,0,0,0,0
132280,2,3,,2.58,2.73,2.68,2.47,1.59,1.73,1.7,1.47,3.6,3.6,3.9,3.6,0.0,0.0,0.0,0.0,240.0,251.0,256.0,268.0,0.0,0.0,0.0,0.0,2.6,2.7,2.7,2.5,0,0,0,0
132587,2,3,POOR TO FAIR,2.08,2.39,3.65,4.21,1.08,1.39,3.05,3.24,11.2,11.2,11.2,14.9,6.9,14.9,14.9,11.2,297,295,296,305,317,299,302,294,3.1,3.2,3.7,4.2,1.7,1.7,3,4
133157,,,FLAT,0.66,0.66,0.63,0.61,0,0,0,0,8.4,8.4,3.2,2.9,4.3,2.4,8.4,6.3,121.0,120.0,260.0,254.0,195.0,255.0,125.0,195.0,0.8,0.8,2.1,1,0.2,0.3,0.7,0.8
133158,,,FLAT,0.78,0.84,0.82,0.73,0,0,0,0,8.4,8.4,3.2,2.9,4.3,2.4,8.4,6.3,121,120,260,254,195,255,125,195,0.8,0.8,2.1,1,0.2,0.3,0.7,0.8
133159,,,FLAT,0.7,0.73,0.64,0.62,0,0,0,0,8.4,5.7,3.2,6.3,4.3,8.4,6.3,10.2,119,203,287,204,212,125,201,114,1,0.9,2,1.3,0.4,0.8,1.4,0.9
